"","Station_Name","total_heritage","residential","suitable","LGA_NAME23"
"80","Beaconsfield",0.0209537572254335,0.00476947535771065,0.00539083557951483,"Cardinia"
"81","Carnegie",0.227282826038658,0.218974222694659,0.227272727272727,"Glen Eira"
"82","Stony Point",0,0,0,"Mornington Peninsula"
"83","Bonbeach",0.00165152766308836,0.00128040973111396,0.000475285171102662,"Kingston (Vic.)"
"84","Westgarth",0.669551708832668,0.671206225680934,0.676380368098159,"Darebin"
"85","Strathmore",0.118805382343288,0.124783362218371,0.127272727272727,"Moonee Valley"
"86","Edithvale",0.00234741784037559,0.0016116035455278,0.00169635284139101,"Kingston (Vic.)"
"87","Aircraft",0,0,0,"Hobsons Bay"
"88","Collingwood",0.573576116874868,0.692651995524058,0.71210293526337,"Yarra"
"89","Thomastown",0.0020005715918834,0.00167714884696017,0.00136301681054066,"Whittlesea"
"90","Upfield",0.000577034045008655,0.000690131124913734,0,"Hume"
"91","Cardinia Road",0,0,0,"Cardinia"
"92","Keon Park",0.00184672206832872,0,0,"Whittlesea"
"93","Laverton",0.000783392087739914,0.00043308791684712,0.000463606861381548,"Hobsons Bay"
"94","Merri",0.810636079249218,0.818244964112063,0.825365853658537,"Darebin"
"95","Northcote",0.444216149578796,0.466860183841316,0.475418144956918,"Darebin"
"96","Riversdale",0.529321930360415,0.542957521558607,0.549446865571572,"Boroondara"
"97","Bell",0.216230936819172,0.222548659566654,0.229215229215229,"Darebin"
"98","Blackburn",0.0109164033323758,0.0106626047220107,0.0106339468302658,"Whitehorse"
"99","Noble Park",0.00039580447259054,0,0,"Greater Dandenong"
"100","Berwick",0.0299277605779154,0.0357664233576642,0.0370689655172414,"Casey"
"101","Cranbourne",0.00145264381173736,0,0,"Casey"
"102","Spotswood",0.115409413281754,0.0823970037453183,0.0845181674565561,"Hobsons Bay"
"103","South Morang",0,0,0,"Whittlesea"
"104","Seaholme",0.0024375380865326,0.00146412884333821,0.0016,"Hobsons Bay"
"105","Moreland",0.266161802733653,0.264276781992497,0.266946345771694,"Merri-bek"
"106","Albion",0.171511627906977,0.218832891246684,0.204661325564457,"Brimbank"
"107","Rosanna",0.0365095805282237,0.0377813504823151,0.0355176211453744,"Banyule"
"108","Tottenham",0.00516674495068107,0,0,"Maribyrnong"
"109","Lilydale",0.0377138413685848,0.01875,0.0203619909502262,"Yarra Ranges"
"110","Kooyong",0.324404761904762,0.319937369519833,0.317613636363636,"Stonnington"
"111","South Kensington",0.426873198847262,0.453781512605042,0.478790613718412,"Melbourne"
"112","Heatherdale",0.00149925037481259,0.00150300601202405,0.00109229929000546,"Whitehorse"
"113","Melbourne Central",0.727676767676768,1,1,"Melbourne"
"114","Camberwell",0.589508002371073,0.664638511095204,0.677023398542386,"Boroondara"
"115","Middle Gorge",0.00500454959053685,0.00377358490566038,0.00308483290488432,"Whittlesea"
"116","Reservoir",0.011382720656839,0.00990303280379616,0.00729770336982185,"Darebin"
"117","Ginifer",0,0,0,"Brimbank"
"118","Patterson",0.123162207760906,0.108092144122859,0.107473749227918,"Glen Eira"
"119","Southland",0.00360252176523566,0.00246478873239437,0.00257258360896729,"Kingston (Vic.)"
"120","Box Hill",0.0778459077579312,0.118966357874208,0.118556701030928,"Whitehorse"
"121","Lalor",0.00503703703703704,0.00427502671891699,0.00425696594427245,"Whittlesea"
"122","Royal Park",0.526458616010855,0.570151921358356,0.562562562562563,"Melbourne"
"123","Laburnum",0.00888395335924486,0.00787671232876712,0.00750804433321416,"Whitehorse"
"124","Union",0.281178562357125,0.278759858580364,0.280146851171985,"Boroondara"
"125","Preston",0.0932065847437978,0.0834967778089101,0.0848449385605617,"Darebin"
"126","Bayswater",0.0018796992481203,0.000854335753951303,0.000895656068069861,"Knox"
"127","Morradoo",0.00831600831600832,0.00765864332603939,0.00778642936596218,"Mornington Peninsula"
"128","Parkdale",0.0106980476063118,0.00141083521444695,0.000900900900900901,"Kingston (Vic.)"
"129","Jacana",0.00119904076738609,0.00123456790123457,0.000664451827242525,"Merri-bek"
"130","Moonee Ponds",0.295327102803738,0.273793291518953,0.274050813588353,"Moonee Valley"
"131","Wattle Glen",0.00609756097560976,0,0,"Nillumbik"
"132","Clayton",0.00135348522445297,0,0,"Monash"
"133","Thornbury",0.160736975857687,0.148390342052314,0.156665761607385,"Darebin"
"134","Upwey",0.0055045871559633,0.00314465408805031,0.00321543408360129,"Yarra Ranges"
"135","Tecoma",0.00692440854010387,0.00255754475703325,0.00260416666666667,"Yarra Ranges"
"136","Anstey",0.330954504906334,0.329446064139942,0.332232963923603,"Merri-bek"
"137","Brunswick",0.401570386988222,0.40594566888775,0.408907968875771,"Merri-bek"
"138","Sunshine",0.232295482295482,0.251713632901752,0.258514567090685,"Brimbank"
"139","Elsternwick",0.299539170506912,0.238962044926414,0.246318607764391,"Glen Eira"
"140","North Melbourne",0.779868297271872,0.951882845188284,0.988066825775656,"Melbourne"
"141","Huntingdale",0.000780335544284042,0.000517063081695967,0.000544662309368192,"Monash"
"142","Williamstown",0.983703703703704,0.988663967611336,0.988284518828452,"Hobsons Bay"
"143","Middle Brighton",0.103677080453414,0.101759530791789,0.0996584911518162,"Bayside (Vic.)"
"144","Highett",0.00182624576050091,0.00112422709387296,0.00117439812096301,"Bayside (Vic.)"
"145","Mitcham",0.0223152022315202,0.0242751180040459,0.0254237288135593,"Whitehorse"
"146","Nunawading",0.00259909031838856,0.00114242193450114,0.00119569549621363,"Whitehorse"
"147","Williams Landing",0,0,0,"Wyndham"
"148","Coburg",0.0826878794222315,0.0667617011166548,0.0666830708661417,"Merri-bek"
"149","North Richmond",0.574451097804391,0.666877370417193,0.669769045156842,"Yarra"
"150","Heidelberg",0.0797604035308953,0.0621631333093784,0.0531835205992509,"Banyule"
"151","Caulfield",0.333702473237357,0.349427168576105,0.35200705778562,"Glen Eira"
"152","Hampton",0.120739666424946,0.0916431166733952,0.0906026127265065,"Bayside (Vic.)"
"153","Eaglemont",0.148923263572945,0.138364779874214,0.134206219312602,"Banyule"
"154","Dandenong",0.00816193274567418,0.000844594594594595,0.000919117647058824,"Greater Dandenong"
"155","Gardiner",0.155871670702179,0.142309033833275,0.147445820433437,"Stonnington"
"156","Hoppers Crossing",0.00184049079754601,0.000662251655629139,0,"Wyndham"
"157","Southern Cross",0.43586387434555,0,0,"Melbourne"
"158","Ripponlea",0.400193563997097,0.383890086206897,0.40625,"Port Phillip"
"159","Glenbervie",0.189367816091954,0.191550190597205,0.195486111111111,"Moonee Valley"
"160","Malvern",0.496754089846793,0.491260349586017,0.512495720643615,"Stonnington"
"161","Officer",0.0131926121372032,0,0,"Cardinia"
"162","Hawksburn",0.32081316553727,0.322961104140527,0.346674344946732,"Stonnington"
"163","Oakleigh",0.230927835051546,0.252470799640611,0.255485893416928,"Monash"
"164","Bittern",0,0,0,"Mornington Peninsula"
"165","Macaulay",0.6272703342985,0.759312320916905,0.774610414291144,"Melbourne"
"166","Baxter",0.00522648083623693,0,0,"Mornington Peninsula"
"167","Diamond Creek",0.00961098398169336,0.00699300699300699,0.00762942779291553,"Nillumbik"
"168","Hurstbridge",0.0543352601156069,0,0,"Nillumbik"
"169","Yarraville",0.439558191859276,0.461136363636364,0.465407319952775,"Maribyrnong"
"170","Prahran",0.249371737869708,0.203846153846154,0.205042527339004,"Stonnington"
"171","Darling",0.119464797706276,0.120162932790224,0.122601279317697,"Stonnington"
"172","Upper Ferntree Gully",0.004359197907585,0,0,"Knox"
"173","Jewell",0.419485108531045,0.452328159645233,0.450571090980701,"Merri-bek"
"174","Fairfield",0.0658388003748828,0.0501756146512795,0.0497459213693501,"Darebin"
"175","Flemington Bridge",0.582189487780382,0.690423162583519,0.706222865412446,"Melbourne"
"176","Dennis",0.217556346381969,0.208121827411168,0.210568454763811,"Darebin"
"177","East Camberwell",0.541924959216966,0.536449250087199,0.544415775893844,"Boroondara"
"178","Carrum",0.00299017513882956,0.000894054537326777,0.000973709834469328,"Kingston (Vic.)"
"179","Kananook",0.00167897918065816,0.00205086136177194,0.00223015165031222,"Frankston"
"180","Ruthven",0.00162899613113419,0.000629062696582093,0.000656886358659952,"Darebin"
"181","Ringwood East",0.00252030243629235,0.0026071842410197,0.002710027100271,"Maroondah"
"182","Balaclava",0.378005342831701,0.36695652173913,0.384763741562199,"Port Phillip"
"183","Kensington",0.443841807909605,0.4920724801812,0.525859399194797,"Melbourne"
"184","Boronia",0,0,0,"Knox"
"185","Epping",0.00303490136570561,0,0,"Whittlesea"
"186","Roxburgh Park",0,0,0,"Hume"
"187","Ashburton",0.156615925058548,0.162096282754418,0.164528543938422,"Boroondara"
"188","Regent",0.0666231221423906,0.0621998627944203,0.0616718862924596,"Darebin"
"189","Greensborough",0.00376325692781389,0.00118906064209275,0.00086244070720138,"Banyule"
"190","Bentleigh",0.161913740278105,0.147273749297358,0.149866190900981,"Glen Eira"
"191","Werribee",0.0397090027280994,0.0429980276134122,0.0437135720233139,"Wyndham"
"192","Leawarra",0,0,0,"Frankston"
"193","West Richmond",0.648947480331703,0.709467120181406,0.704630788485607,"Yarra"
"194","Murrumbeena",0.10621702225281,0.078791010074916,0.0860832137733142,"Glen Eira"
"195","Chelsea",0.00343106674984404,0.00163612565445026,0.00107296137339056,"Kingston (Vic.)"
"196","Cheltenham",0.00849082443166256,0.00581751377832211,0.00580832526621491,"Bayside (Vic.)"
"197","Parliament",0.844142785319256,0.962871287128713,0.971751412429379,"Melbourne"
"198","Ormond",0.199460916442049,0.202619047619048,0.215829211142932,"Glen Eira"
"199","East Pakenham",0,0,0,"Cardinia"
"200","St Albans",0.00160307790958641,0.000962927298988926,0.000521648408972353,"Brimbank"
"201","Seaford",0.000572409845449342,0,0,"Frankston"
"202","Ferntree Gully",0.00151630022744503,0.000844238075137189,0.000448229493500672,"Knox"
"203","Hawthorn",0.60253164556962,0.67117903930131,0.679671457905544,"Boroondara"
"204","Batman",0.0595973154362416,0.0554182845040593,0.0559234731420162,"Merri-bek"
"205","Crib Point",0.00561797752808989,0.00641025641025641,0.00664451827242525,"Mornington Peninsula"
"206","Narre Warren",0.00532623169107856,0,0,"Casey"
"207","Ringwood",0.0255734247297654,0.0267956829177521,0.0256916996047431,"Maroondah"
"208","Macleod",0.0229080496341075,0.0217100868403474,0.0206005586592179,"Banyule"
